"Wave End/Migration
Date",App,Server_Name,Migration Status,AD Migration Status
DMZ,84242c5c1940741cb7adc41f1a25a917,9c2d3ee7a89862319dd2e600b359f19f,Boot-up Test Complete,COMPLETE
DMZ,b86cb8fefc088d60d746e89a6b090b61,026d3a3aa5607df1cfe1d0c3bdc6e57b,Boot-up Test Complete,COMPLETE
DMZ,b86cb8fefc088d60d746e89a6b090b61,88ece610788598220d8a4927995f7f9f,Boot-up Test Complete,COMPLETE
Deco,8b3909b681edf6e7334dc703a730c8b4,99836665ae94db8e9cc27aa4a52392c8,Migrating to VMC7222PA088 and will be decommissioed. Was Cutover and rolled back,COMPLETE
Deco,b382e534605f85b59bdee7cca943115b,3db2dc89c5bfaf0975a2eb1f7a6f660e,Boot-up Test Complete,0
Azure,66f5ac34ec6c95e3a3cdb28decb76e68,c7293d7e7fcf84f0464fb32f96d15eba,Moving to Azure as of 5/21,0
2020-09-20 00:00:00,5ab907ecc77aecc5797f530a08df9442,18e0a585fec8a7b77c11ebaa55415f8d,Pending Agent Install,COMPLETE
2020-09-20 00:00:00,f6b2560edd0c87868a82dd45b73b9614,dc8998c94c53a9bf98f9f75d1af3cdca,Pending Agent Install,COMPLETE
2020-09-20 00:00:00,7c312aab25a7416361b0a37147194ddd,ffbf12cd4a6b2682e150baa54d9d3db7,Pending Agent Install,ETA 8/3
2020-09-20 00:00:00,fb5c9de9d1d4f5175b33cd0257fc4524,9944147e2d4e731c11895bb420b57084,Pending Agent Install,ETA 8/3
2020-08-16 00:00:00,d9c113eb131f3285c0267b4dcf8cb4f8,101bbeed81a21b67540c4e0481e28057,Pending Agent Install,COMPLETE
2020-08-16 00:00:00,d9c113eb131f3285c0267b4dcf8cb4f8,3a6726d93ea31390eae706d4f637ce0b,Pending Agent Install,COMPLETE
2020-08-16 00:00:00,d9c113eb131f3285c0267b4dcf8cb4f8,999335303b3677b62075c7585178206c,Pending Agent Install,COMPLETE
2020-08-16 00:00:00,d9c113eb131f3285c0267b4dcf8cb4f8,5a740770317348567b68a61515c81376,Pending Agent Install,COMPLETE
2020-08-16 00:00:00,d9c113eb131f3285c0267b4dcf8cb4f8,22b286cd856a29091d120ad220cb85d4,Pending Agent Install,COMPLETE
2020-08-16 00:00:00,e1bb748a48097b68f42ca72ea40973e4,09be336ef420d2767606ea4f19cd29a6,Pending Agent Install,COMPLETE
2020-08-16 00:00:00,e1bb748a48097b68f42ca72ea40973e4,5bd0468756617ee36134cfe8f265c313,Pending Agent Install,COMPLETE
2020-08-16 00:00:00,e1bb748a48097b68f42ca72ea40973e4,f837aec9bdab8f9a0aa1456c552f0b87,Pending Agent Install,COMPLETE
2020-08-04 00:00:00,5bdc315232405f69c3ba6d9329b44253,b379d31124fdef69bc7989e7f01a20cc,Boot-up Test Complete,COMPLETE - 5/21/20
2020-08-04 00:00:00,5bdc315232405f69c3ba6d9329b44253,1939ee20cdb0382b6fbd40f2f10758be,Boot-up Test Complete,COMPLETE - 5/21/20
2020-07-30 00:00:00,85f798f5534c799b995320f6efc66299,a6873a395deff05dfddfff50551ad784,Boot-up Test Complete,COMPLETE - 5/21/20
2020-07-30 00:00:00,85f798f5534c799b995320f6efc66299,85eef1a3b0295eb7173b2d971bbe5b01,Boot-up Test Complete,COMPLETE - 5/21/20
2020-07-30 00:00:00,85f798f5534c799b995320f6efc66299,2541206437f4a7177d8b91343e9efd54,Boot-up Test Complete,COMPLETE - 5/21/20
2020-07-29 00:00:00,c79579d4646ca001bb73492d260b6b08,0cb145611310235310114bf6508a23aa,Boot-up Test Complete,COMPLETE
2020-07-29 00:00:00,3f0a1759760c6e27fca9cc1237d414da,81f78aff9313e52ad659672419a352a0,Boot-up Test Complete,COMPLETE
2020-07-29 00:00:00,707e305fffa17b2bf2e277a9543f9be3,46684735218261dfa3622c699878cd39,Boot-up Test Complete,COMPLETE - 5/21/20
2020-07-29 00:00:00,16c76febd66959cb835ac5c54faa6c83,b84d864df5b970ed3e07607029d2a79d,Boot-up Test Complete,COMPLETE
2020-07-29 00:00:00,23aed4019de2f689569b06d8a3234432,e734c2c25559b6e1aa35f6ccfd604456,Boot-up Test Complete,COMPLETE
2020-07-29 00:00:00,6b68f56e61372dba4b23ea4f8be13131,ed9c3868853dcd959b9ca2cd6509704a,Boot-up Test Complete,COMPLETE
2020-07-29 00:00:00,6b68f56e61372dba4b23ea4f8be13131,4ac5f1c051a82f3331d2b6e05293b207,Boot-up Test Complete,COMPLETE
2020-07-29 00:00:00,6b68f56e61372dba4b23ea4f8be13131,27c90b8537de41ea96bae26639a67047,Boot-up Test Complete,COMPLETE
2020-07-29 00:00:00,6b68f56e61372dba4b23ea4f8be13131,0ed103d7784e5b0b0d88074d1e39135c,Boot-up Test Complete,COMPLETE
